"SupportedOn","Hive","EditorDir","EditorName","Properties","Drive","Path","ADMX"
"Microsoft Edge on Windows 10, Version 1809 or later","Both","Windows Components > Microsoft Edge","Set New Tab page URL","NewTabPageURL (text)","Both","Software\Policies\Microsoft\MicrosoftEdge\Internet Settings","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1607 or later","Both","Windows Components > Microsoft Edge","Show message when opening sites in Internet Explorer","ShowMessageWhenOpeningSitesInInternetExplorer (toggle), ShowMessageWhenOpeningSitesInInternetExplorer (enum)","Both","Software\Policies\Microsoft\MicrosoftEdge\Main","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1607 or later","Both","Windows Components > Microsoft Edge","Prevent access to the about:flags page in Microsoft Edge","PreventAccessToAboutFlagsInMicrosoftEdge (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Main","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1703 or later","Both","Windows Components > Microsoft Edge","Prevent Microsoft Edge from gathering Live Tile information when pinning a site to Start","PreventLiveTileDataCollection (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Main","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1703 or later","Both","Windows Components > Microsoft Edge","Prevent the First Run webpage from opening on Microsoft Edge","PreventFirstRunPage (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Main","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1703 or later","Both","Windows Components > Microsoft Edge","Keep favorites in sync between Internet Explorer and Microsoft Edge","SyncFavoritesBetweenIEAndMicrosoftEdge (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Main","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1809 or later","Both","Windows Components > Microsoft Edge","Unlock Home Button","UnlockHomeButton (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Internet Settings","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1803 or later","Both","Windows Components > Microsoft Edge","Allow a shared Books folder","UseSharedFolderForBooks (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\BooksLibrary","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1703 or later","Both","Windows Components > Microsoft Edge","Configure the Adobe Flash Click-to-Run setting","FlashClickToRunMode (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Security","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1703 or later","Both","Windows Components > Microsoft Edge","Allow clearing browsing data on exit","ClearBrowsingHistoryOnExit (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Privacy","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10 or later","Both","Windows Components > Microsoft Edge","Allow Adobe Flash","FlashPlayerEnabled (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\Addons","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1607 or later","Both","Windows Components > Microsoft Edge","Allow Microsoft Compatibility List","MSCompatibilityMode (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\BrowserEmulation","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1803 or later","Both","Windows Components > Microsoft Edge","Allow Microsoft Edge to start and load the Start and New Tab page at Windows startup and each time Microsoft Edge is closed","AllowTabPreloading (enum)","Both","Software\Policies\Microsoft\MicrosoftEdge\TabPreloader","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1809 or later","Both","Windows Components > Microsoft Edge","Allow Microsoft Edge to pre-launch at Windows startup, when the system is idle, and each time Microsoft Edge is closed","AllowPrelaunch (enum)","Both","Software\Policies\Microsoft\MicrosoftEdge\Main","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1809 or later","Both","Windows Components > Microsoft Edge","Configure kiosk mode","ConfigureKioskMode (toggle), ConfigureKioskMode (decimal)","Both","Software\Policies\Microsoft\MicrosoftEdge\KioskMode","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10, Version 1809 or later","Both","Windows Components > Microsoft Edge","Configure kiosk reset after idle timeout","ConfigureKioskResetAfterIdleTimeout (toggle), ConfigureKioskResetAfterIdleTimeout (decimal)","Both","Software\Policies\Microsoft\MicrosoftEdge\KioskMode","MicrosoftEdge.admx"
"Microsoft Edge on Windows 10 or later","Both","Windows Components > Microsoft Edge","Suppress the display of Edge Deprecation Notification","SuppressEdgeDeprecationNotification (toggle)","Both","Software\Policies\Microsoft\MicrosoftEdge\EdgeDeprecation","MicrosoftEdge.admx"
"At least Windows 2000","User","Windows Components > Microsoft Management Console","Restrict the user from entering author mode","RestrictAuthorMode (toggle)","HKCU:\","Software\Policies\Microsoft\MMC","MMC.admx"
"At least Windows 2000","User","Windows Components > Microsoft Management Console","Restrict users to the explicitly permitted list of snap-ins","RestrictToPermittedSnapins (toggle)","HKCU:\","Software\Policies\Microsoft\MMC","MMC.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Extension snap-ins","Extended View (Web View)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{B708457E-DB61-4C55-A92F-0D4B5E9B1224}","MMC.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Restricted/Permitted snap-ins","ActiveX Control","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C96401CF-0E17-11D3-885B-00C04F72C717}","MMC.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Restricted/Permitted snap-ins","Link to Web Address","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C96401D1-0E17-11D3-885B-00C04F72C717}","MMC.admx"
"At least Windows 2000","User","Unknown","AppleTalk Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{1AA7F83C-C7F5-11D0-A376-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Authorization Manager","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{1F5EEC01-1214-4D94-80C5-4BDCD2014DDD}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Certification Authority Policy Settings","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{3F276EB4-70EE-11D1-8A0F-00C04FB93753}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Connection Sharing (NAT)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C2FE450B-D6C2-11D0-A37B-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","DCOM Configuration Extension","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{9EC88934-C774-11d1-87F4-00C04FC2C17B}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Device Manager","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{90087284-d6d6-11d0-8353-00a0c90640bf}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","DHCP Relay Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C2FE4502-D6C2-11D0-A37B-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Enterprise PKI","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{634BDE40-E5E1-49A1-B2CD-140FFFC830F9}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Event Viewer","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{394C052E-B830-11D0-9A86-00C04FD8DBF7}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Event Viewer (Windows Vista)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{b05566ae-fe9c-4363-be05-7a4cbb7cb510}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","IAS Logging","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{2E19B602-48EB-11d2-83CA-00104BCA42CF}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","IGMP Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C2FE4508-D6C2-11D0-A37B-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","IP Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C2FE4500-D6C2-11D0-A37B-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","IPX RIP Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{90810502-38F1-11D1-9345-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","IPX Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{90810500-38F1-11D1-9345-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","IPX SAP Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{90810504-38F1-11D1-9345-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Logical and Mapped Drives","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{6E8E0081-19CD-11D1-AD91-00AA00B8E05A}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Online Responder","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{6d8880af-e518-43a8-986c-1ad21c4c976e}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","OSPF Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C2FE4506-D6C2-11D0-A37B-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Public Key Policies","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{34AB8E82-C27E-11D1-A6C0-00C04FB94F17}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","RAS Dialin - User Node","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{B52C1E50-1DD2-11D1-BC43-00C04FC31FD3}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Remote Access","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{5880CD5C-8EC0-11d1-9570-0060B0576642}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Removable Storage","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{243E20B0-48ED-11D2-97DA-00A024D77700}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","RIP Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C2FE4504-D6C2-11D0-A37B-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Routing","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{DAB1A262-4FD7-11D1-842C-00C04FB6C218}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Send Console Message","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{B1AFF7D0-0C49-11D1-BB12-00C04FC9A3A3}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Service Dependencies","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{BD95BA60-2E26-AAD1-AD99-00AA00B8E05A}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Shared Folders Ext","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{58221C69-EA27-11CF-ADCF-00AA00A80033}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","SMTP Protocol","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{03f1f940-a0f2-11d0-bb77-00aa00a1eab7}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","SNMP","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{7AF60DD3-4979-11D1-8A6C-00C04FC33566}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","System Properties","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{0F3621F1-23C6-11D1-AD97-00AA00B88E5A}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional with SP1","User","Group Policy","Group Policy Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{E12BBB5D-D59D-4E61-947A-301D25AE8C23}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy","Group Policy Object Editor","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{8FC0B734-A0E1-11D1-A7D3-0000F87571E3}","MMCSnapins.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Group Policy","Group Policy tab for Active Directory Tools","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{D70A2BEA-A63E-11D1-A7D4-0000F87571E3}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Group Policy","Resultant Set of Policy snap-in","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{6DC3804B-7212-458D-ADB0-9A07E2AE1FA2}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Administrative Templates (Computers)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{0F6B957D-509E-11D1-A7CC-0000F87571E3}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Administrative Templates (Users)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{0F6B957E-509E-11D1-A7CC-0000F87571E3}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Folder Redirection","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{88E729D6-BDC1-11D1-BD2A-00C04FB9603F}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Internet Explorer Maintenance","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{FC715823-C5FB-11D1-9EEF-00A0C90347FF}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Group Policy snap-in extensions","IP Security Policy Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{DEA8AFA0-CC85-11d0-9CE2-0080C7221EBD}","MMCSnapins.admx"
"At least Windows Vista","User","Group Policy snap-in extensions","Windows Firewall with Advanced Security","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{0E752416-F29E-4195-A9DD-7F0D4D5A9D71}","MMCSnapins.admx"
"At least Windows Vista","User","Group Policy snap-in extensions","NAP Client Configuration","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{a1bc4ecb-66b2-44e8-9915-be02e84438ba}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Remote Installation Services","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{3060E8CE-7020-11D2-842D-00C04FA372D4}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Scripts (Startup/Shutdown)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{40B6664F-4972-11D1-A7CA-0000F87571E3}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Scripts (Logon/Logoff)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{40B66650-4972-11D1-A7CA-0000F87571E3}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Security Settings","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{803E14A0-B4FB-11D0-A0D0-00A0C90F574B}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Software Installation (Computers)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{942A8E4F-A261-11D1-A760-00C04FB9603F}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Software Installation (Users)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{BACF5C8A-A3C7-11D1-A760-00C04FB9603F}","MMCSnapins.admx"
"At least Windows Vista","User","Group Policy snap-in extensions","Wired Network (IEEE 802.3) Policies","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{06993B16-A5C7-47EB-B61C-B1CB7EE600AC}","MMCSnapins.admx"
"At least Windows 2000","User","Group Policy snap-in extensions","Wireless Network (IEEE 802.11) Policies","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{2DA6AA7F-8C88-4194-A558-0D36E7FD3E64}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Administrative Templates (Computers)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{B6F9C8AE-EF3A-41C8-A911-37370C331DD4}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Administrative Templates (Users)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{B6F9C8AF-EF3A-41C8-A911-37370C331DD4}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Folder Redirection","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{c40d66a0-e90c-46c6-aa3b-473e38c72bf2}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Internet Explorer Maintenance","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{d524927d-6c08-46bf-86af-391534d779d3}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Scripts (Startup/Shutdown)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{40B66660-4972-11d1-A7CA-0000F87571E3}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Scripts (Logon/Logoff)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{40B66661-4972-11d1-A7CA-0000F87571E3}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Security Settings","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{fe883157-cebd-4570-b7a2-e4fe06abe626}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Software Installation (Computers)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{7E45546F-6D52-4D10-B702-9C2E67232E62}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Resultant Set of Policy snap-in extensions","Software Installation (Users)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{1BC972D6-555C-4FF7-BE2C-C584021A0A6A}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Active Directory Domains and Trusts","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{EBC53A38-A23F-11D0-B09B-00C04FD8DCA6}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Active Directory Sites and Services","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{D967F824-9968-11D0-B936-00C04FD8D5B0}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Active Directory Users and Computers","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{E355E538-1C2E-11D0-8C37-00C04FD8FE93}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Unknown","ADSI Edit","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{1C5DACFA-16BA-11D2-81D0-0000F87A7AA3}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Certification Authority","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{de751566-4cc6-11d1-8ca0-00c04fc297eb}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Certificates","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{53D6AB1D-2488-11D1-A28C-00C04FB94F17}","MMCSnapins.admx"
"At least Windows Server 2003","User","Unknown","Certificate Templates","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{A994E107-6854-4F3D-917C-E6F01670F6D3}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Component Services","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{C9BC92DF-5B9A-11D1-8F00-00C04FC2C17B}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Computer Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{58221C67-EA27-11CF-ADCF-00AA00A80033}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Device Manager","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{74246bfc-4c96-11d0-abef-0020af6b0b7a}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Distributed File System","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{677A2D94-28D9-11D1-A95B-008048918FB1}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Disk Defragmenter","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{43668E21-2636-11D1-A1CE-0080C88593A5}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Disk Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{8EAD3A12-B2C1-11d0-83AA-00A0C92C9D5D}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Event Viewer","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{975797FC-4E2A-11D0-B702-00C04FD8DBF7}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Event Viewer (Windows Vista)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{b05566ad-fe9c-4363-be05-7a4cbb7cb510}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Failover Clusters Manager","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{D2779945-405B-4ACE-8618-508F3E3054AC}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","FAX Service","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{753EDB4D-2E1B-11D1-9064-00A0C90AB504}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Unknown","FrontPage Server Extensions","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{FF5903A8-78D6-11D1-92F6-006097B01056}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Health Registration Authority (HRA)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{89cc9588-7628-4d29-8e4a-6550d0087059}","MMCSnapins.admx"
"Windows Server 2003 only","User","Unknown","Internet Authentication Service (IAS)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{8F8F8DC0-5713-11D1-9551-0060B0576642}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Internet Information Services","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{A841B6C2-7577-11D0-BB1F-00A0C922E79C}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Indexing Service","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{95AD72F0-44CE-11D0-AE29-00AA004B9986}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Unknown","IP Security Policy Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{DEA8AFA2-CC85-11d0-9CE2-0080C7221EBD}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Unknown","IP Security Monitor","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{57C596D0-9370-40C0-BA0D-AB491B63255D}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Local Users and Groups","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{5D6179C8-17EC-11D1-9AA9-00C04FD8FE93}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","NAP Client Configuration","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{a1bc4eca-66b2-44e8-9915-be02e84438ba}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown",".Net Framework Configuration","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{18BA7139-D98B-43c2-94DA-2604E34E175D}","MMCSnapins.admx"
"At least Windows Vista","User","Unknown","Network Policy Server (NPS)","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{6630f2d7-bd52-4072-bfa7-863f3d0c5da0}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Performance Logs and Alerts","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{7478EF61-8C46-11d1-8D99-00A0C913CAD4}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","QoS Admission Control","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{FD57D297-4FD9-11D1-854E-00C04FC31FD3}","MMCSnapins.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Unknown","Remote Desktops","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{3D5D035E-7721-4B83-A645-6C07A3D403B7}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Routing and Remote Access","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{1AA7F839-C7F5-11D0-A376-00C04FC9DA04}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Removable Storage Management","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{3CB6973D-3E6F-11D0-95DB-00A024D77700}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Security Configuration and Analysis","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{011BE22D-E453-11D1-945A-00C04FB984F9}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Security Templates","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{5ADF5BF6-E452-11D1-945A-00C04FB984F9}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Server Manager","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\FX:{18ea3f92-d6aa-41d9-a205-2023400c8fbb}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Services","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{58221C66-EA27-11CF-ADCF-00AA00A80033}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Shared Folders","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{58221C65-EA27-11CF-ADCF-00AA00A80033}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","System Information","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{45ac8c63-23e2-11d1-a696-00c04fd58bc3}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Telephony","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{E26D02A0-4C1F-11D1-9AA1-00C04FC3357A}","MMCSnapins.admx"
"At least Windows 2000","User","Unknown","Remote Desktop Services Configuration","Restrict_Run (toggle)","HKCU:\","Software\Policies\Microsoft\MMC\{B91B6008-32D2-11D2-9888-00A0C925F917}","MMCSnapins.admx"
